# File written from OrientationAnalysis Version 6.5.171.b0b162591
# DateTime: Thu Sep 19 14:51:58 2024
# X_STEP: 250.0
# Y_STEP: 250.0
# Z_STEP: 0.0
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 50000.0
# Y_MAX: 40000.0
# Z_MAX: 0.0
#
# X_DIM: 200.0
# Y_DIM: 160
# Z_DIM: 0
#
# Phase_1: Primary
# Symmetry_1: 43
# Features_1: 10
#
# Num_Features: 10
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
5.735418 0.771738 1.622451 125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 1125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 1375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 1625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 1875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 2125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 2375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 2625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 2875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 3125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 3375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 3625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 3875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 4125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 4375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 4625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 4875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 5125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 5375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 5625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 5875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 6125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 6375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 6625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 6875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 7125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 7375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 7625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 7875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 8125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 8375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 8625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 8875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 9125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 9375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 9625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 9875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 10125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 10375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 10625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 10875.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 11125.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 11375.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 11625.0 125.0 0.0 8 1 43
5.735418 0.771738 1.622451 11875.0 125.0 0.0 8 1 43
